Gene,Coef
S100A8,0
ACTB,0
EEF1A1,-0.179019596
SERPINA1,0
IFITM2,0
S100A12,0
HLA-A,-0.098556805
HLA-B,0
GAPDH,0
S100A11,0
MYL6,0.004533769
FCGR3B,0
IFITM3,0
TYROBP,0
IFITM1,0
ACSL1,0
LYZ,0
S100A6,0
ALOX5AP,0
TUBA1A,0
CFL1,0
VIM,0
IL1R2,0.035881197
SELL,0
RAC2,0
PFN1,0
NAMPT,0
FPR1,0
ALOX5,0.016661443
BASP1,0
PLBD1,0
GNAS,0
S100A4,0
FCER1G,0.031047238
MMP9,0
BCL6,0
LDHA,0.057573145
MSRB1,0
TMSB10,-0.020740063
AQP9,0
YBX3,0
CXCR2,0
ACTR3,0
PLAC8,0.006886508
CD63,0.000794741
EVI2B,0
ARPC2,0
HCK,0
SAT1,0
FCGR2A,0
RGS2,0
GLUL,0
NCF2,0
GYG1,0.032285614
ITGB2,0
HSPA1A,0
CORO1A,0
VNN2,0
TUBA1B,0
HMGN2,0
CLIC1,0
PLXNC1,0
GCA,0
ARPC5,0
CST7,0.014871597
CSF3R,0
PPBP,0
TAGLN2,0
COTL1,0
PLP2,0.000370286
PGAM1,0
ACTN1,0
DUSP1,0
CXCR4,-0.012426791
YBX1,0
SH3BGRL3,0
IQGAP1,0
MYO1F,0
CSF2RB,0
CYBA,0
PCBP2,0
C5AR1,0
NCF4,0
FCN1,0
EEF2,-0.01462971
IL18RAP,0
MEGF9,0
ITGAM,0.006855619
LGALS3,0
LGALS1,0
CTSB,0
CD14,0
DDX3X,0
PF4,0
SLC25A37,0
TSC22D3,0
GYPC,0
S100P,0
SLA,0
STOM,0.029564519
TIMP1,0
IFI16,0
CD55,0.007147769
HMGB2,0
DYSF,0
RASSF2,0
KCNJ15,0
PYGL,0
CYBB,0
RAB31,0
XPO6,0
IFNGR2,0
PLSCR1,0
FLOT1,0.010906113
B4GALT5,0.115947593
FCGR3A,0
PSMB4,0
FGR,0
LYN,0
IER2,-0.088972169
TNFRSF1B,0
MKNK2,0
EIF4A1,-0.055908179
CDA,0
VCAN,0
NFE2,0
ANXA1,0.046278081
ANXA2,0
TUBA1C,0
CHPT1,0
SELPLG,0
CD74,-0.037714962
UCP2,0
CSTB,0
PPIA,-0.017032632
HUWE1,0
LAT2,0
APLP2,0
SLC25A3,0
PRR13,0
COX8A,0
ZYX,0
KLF2,0
RALB,0
EFHD2,0
ENO1,0
WDR1,0.042467692
PTP4A2,0
ADM,0
TNFSF10,0
S100A10,0
PFKFB3,0
ZFP36,0
TRIM22,0
JTB,0
PADI4,0
OSBPL8,-0.006428542
CAPNS1,0
GNB2,0
NT5C2,0
PTTG1IP,0
LSP1,0
MMP25,0
LST1,0
SLC11A1,0
RGS19,0
RBPJ,0.018733332
ANXA3,0
PYCARD,0
PLEK,0
CKAP4,0.016463098
PIP4K2A,0
MPP1,0
MARCKS,0
CXCR1,0
PTPN6,0
TPST2,0.031834194
SAMSN1,0.002240771
GSTO1,0.03608531
STK24,0
CEBPD,0
GLRX,0
IL2RG,0
RIOK3,0
CNN2,0
DICER1,0
PILRA,0
CD300A,-0.045280346
N4BP1,0
GSPT1,0
SPI1,0
NKG7,0
UPP1,0.020095049
CMTM6,0
FAM53C,0
ZFP36L2,-0.043029822
CLU,0
PRKCB,0
CASP8,0
NMI,0
EIF3L,-0.035995689
FAM120A,-0.027230677
AIF1,0
HLA-DPA1,-0.036806944
DENND5A,0
CDC42EP3,0
CTSC,0
ELOVL5,0
TXN,0
MSL1,0
